date,open,high,low,close,volume,vwap,transactions,dollar_value
2015-08-21,4.1875,4.2938,3.83,3.83,190145904.0,4.0564,46353,728258812.32
2015-08-24,3.1271,3.8117,2.721,3.3763,196359408.0,3.4528,34131,662968269.2304
2015-08-25,3.7292,3.7971,3.3167,3.3317,144833112.0,3.6243,27629,482540479.2504
2015-08-26,3.6163,3.8404,3.4029,3.8125,142510080.0,3.6132,27490,543319680.0
2015-08-27,3.9917,4.1188,3.8471,4.1104,242977104.0,4.0122,58835,998733088.2816001
2015-08-28,4.045,4.15,4.0184,4.1071,107047800.0,4.0774,24260,439656019.38
2015-08-31,4.0396,4.1063,3.925,3.9546,103435152.0,4.0179,23077,409044652.0992
2015-09-01,3.6575,3.8388,3.5346,3.5959,156931080.0,3.7026,34465,564308470.572
2015-09-02,3.7784,3.8884,3.6538,3.8884,90139536.0,3.7536,17771,350498571.7824
2015-09-03,3.9359,4.0117,3.7967,3.8242,111612840.0,3.8996,24735,426829822.728
2015-09-04,3.6709,3.7682,3.6288,3.6963,139822008.0,3.694,29161,516824088.17039996
2015-09-08,3.9059,4.0188,3.8596,4.01,112675272.0,3.9349,29150,451827840.71999997
2015-09-09,4.1475,4.1496,3.8384,3.8704,140642544.0,4.0167,33712,544342902.2976
2015-09-10,3.8546,4.0721,3.8409,3.9942,123581856.0,3.9644,27875,493610649.23520005
2015-09-11,3.9409,4.0588,3.9063,4.0588,94858944.0,3.9798,22335,385013481.9072
2015-09-14,4.1042,4.1054,3.9784,4.0225,88332600.0,4.0177,20206,355317883.5
2015-09-15,4.0525,4.2038,4.0083,4.1629,76326384.0,4.1323,20258,317739103.9536
2015-09-16,4.1713,4.2479,4.125,4.2325,70207272.0,4.1934,18300,297152278.74
2015-09-17,4.2279,4.4313,4.1875,4.2442,121179984.0,4.2926,31374,514312088.0928
2015-09-18,4.0496,4.2092,4.0403,4.0646,136170936.0,4.1118,33161,553480386.4656
2015-09-21,4.1267,4.1983,3.9896,4.0992,100155888.0,4.0984,25193,410559016.08959997
2015-09-22,3.9096,3.9542,3.8034,3.9184,141898392.0,3.8801,32471,556014659.2128
2015-09-23,3.9459,3.9767,3.8625,3.9246,111880296.0,3.9212,22488,439085409.6816
2015-09-24,3.8088,3.9242,3.7084,3.8792,146917680.0,3.7928,33541,569923064.256
2015-09-25,4.0108,4.0163,3.7096,3.785,141911040.0,3.8869,30695,537133286.4
2015-09-28,3.7325,3.7392,3.4255,3.4588,180028104.0,3.5468,43465,622681206.1152
2015-09-29,3.4838,3.5896,3.33,3.4075,182876160.0,3.4677,44413,623150515.2
2015-09-30,3.5492,3.65,3.5084,3.6329,166932840.0,3.5936,40011,606450314.436
2015-10-01,3.6559,3.6863,3.5117,3.6838,109633128.0,3.5943,27288,403866516.9264
2015-10-02,3.5359,3.8796,3.5,3.875,158702928.0,3.6972,37246,614973846.0
2015-10-05,3.9654,4.0767,3.9402,4.0517,104076264.0,4.0098,25023,421685798.8488
2015-10-06,4.0221,4.0575,3.8929,3.9938,115060008.0,3.97,26453,459526659.9504
2015-10-07,4.065,4.0863,3.9067,4.0579,126554664.0,4.0025,30273,513546171.0456
2015-10-08,4.0146,4.1292,3.8963,4.1075,145937232.0,4.0062,36606,599437180.4399999
2015-10-09,4.1129,4.1875,4.0803,4.1575,87611472.0,4.14,23201,364244694.84
2015-10-12,4.1892,4.2171,4.1429,4.1925,76268952.0,4.181,15626,319757581.26
2015-10-13,4.1209,4.2489,4.1,4.1104,106482000.0,4.1631,23208,437683612.8
2015-10-14,4.1117,4.1738,4.04,4.0929,91666464.0,4.1065,22088,375181670.50560004
2015-10-15,4.1371,4.2938,4.1213,4.2929,107285160.0,4.2016,25698,460564463.364
2015-10-16,4.3213,4.3542,4.2585,4.3463,66320688.0,4.3101,16870,288249606.2544
2015-10-19,4.3263,4.4313,4.3021,4.4242,81810672.0,4.381,19927,361946775.0624
2015-10-20,4.3975,4.4271,4.3092,4.3509,72615840.0,4.3697,18091,315944258.25600004
2015-10-21,4.4192,4.4318,4.2684,4.2809,88246992.0,4.351,22122,377776548.0528
2015-10-22,4.3879,4.5454,4.3513,4.5346,129875736.0,4.4853,30810,588934512.4656
2015-10-23,4.9004,4.9713,4.8271,4.9117,102029616.0,4.8902,26522,501138864.9072
2015-10-26,4.9054,4.9534,4.85,4.9262,59944224.0,4.9087,15734,295297236.26879996
2015-10-27,4.8863,4.9759,4.8821,4.9584,52231680.0,4.9304,13893,258985562.11200002
2015-10-28,4.9809,5.0767,4.8578,5.0733,104479776.0,4.9657,27586,530057247.5808
2015-10-29,5.0075,5.0792,4.9929,5.0546,49913976.0,5.0381,13125,252295183.0896
2015-10-30,5.0613,5.0875,4.985,4.9854,60035808.0,5.0474,16520,299302517.20320004
2015-11-02,5.0225,5.1721,4.9946,5.1554,55301280.0,5.1022,14637,285100218.912
2015-11-03,5.1238,5.264,5.1,5.2046,61811688.0,5.1901,17648,321705111.36480004
2015-11-04,5.2563,5.2709,5.1446,5.2067,72916008.0,5.2013,20393,379651778.85359997
2015-11-05,5.2225,5.2608,5.0859,5.1609,71125968.0,5.1628,18285,367074008.25119996
2015-11-06,5.1392,5.1946,5.0371,5.1779,68124888.0,5.1372,19602,352743857.5752
