date,strategy_value,dca_value
2021-07-26,300184.0,300000.0
2021-07-27,300768.0,300584.0
2021-07-28,298672.0,298488.0
2021-07-29,298392.0,298208.0
2021-07-30,296144.0,295960.0
2021-08-02,299216.0,299032.0
2021-08-03,298416.0,298232.0
2021-08-04,299608.0,299424.0
2021-08-05,300736.0,300552.0
2021-08-06,300888.0,300704.0
2021-08-09,301008.0,300824.0
2021-08-10,301600.0,301416.0
2021-08-11,300704.0,300520.0
2021-08-12,298744.0,298560.0
2021-08-13,300504.0,300320.0
2021-08-16,300328.0,300144.0
2021-08-17,299112.0,298928.0
2021-08-18,298336.0,298152.0
2021-08-19,294368.0,294184.0
2021-08-20,298240.0,298056.0
2021-08-23,301464.0,301048.0
2021-08-24,305496.0,305080.0
2021-08-25,306128.0,305712.0
2021-08-26,305560.0,305144.0
2021-08-27,304880.0,304464.0
2021-08-30,307904.0,307488.0
2021-08-31,310832.0,310416.0
2021-09-01,311256.0,310840.0
2021-09-02,312000.0,311584.0
2021-09-03,309800.0,309384.0
2021-09-07,311768.0,311352.0
2021-09-08,311968.0,311552.0
2021-09-09,311232.0,310816.0
2021-09-10,311408.0,310992.0
2021-09-13,309616.0,309200.0
2021-09-14,308712.0,308296.0
2021-09-15,307008.0,306592.0
2021-09-16,307768.0,307352.0
2021-09-17,308680.0,308264.0
2021-09-20,300723.2,299976.0
2021-09-21,300819.2,300072.0
2021-09-22,300771.2,299680.0
2021-09-23,303707.2,302616.0
2021-09-24,303619.2,302528.0
2021-09-27,303259.2,302168.0
2021-09-28,299635.2,298544.0
2021-09-29,296035.2,294944.0
2021-09-30,295875.2,294784.0
2021-10-01,293979.2,292888.0
2021-10-04,293915.2,292824.0
2021-10-05,290067.2,288976.0
2021-10-06,290363.2,289272.0
2021-10-07,297339.2,296248.0
2021-10-08,298363.2,297272.0
2021-10-11,294763.2,293672.0
2021-10-12,295003.2,293912.0
2021-10-13,294707.2,293616.0
2021-10-14,298051.2,296960.0
2021-10-15,301403.2,300312.0
2021-10-18,301187.2,300096.0
2021-10-19,306099.2,305008.0
2021-10-20,307851.2,306760.0
2021-10-21,306427.2,305336.0
2021-10-22,323011.2,321792.0
2021-10-25,322675.2,321456.0
2021-10-26,326411.2,325192.0
2021-10-27,325891.2,324672.0
2021-10-28,327787.2,326568.0
2021-10-29,327075.2,325856.0
2021-11-01,331475.2,330256.0
2021-11-02,331667.2,330448.0
2021-11-03,333867.2,332648.0
