date,strategy_value,dca_value
2021-07-26,301819.2,300000.0
2021-07-27,302414.87999999995,300584.0
2021-07-28,301903.94,298488.0
2021-07-29,301616.58999999997,298208.0
2021-07-30,301710.42,295960.0
2021-08-02,301454.42,299032.0
2021-08-03,302345.33999999997,298232.0
2021-08-04,303571.61,299424.0
2021-08-05,304737.68,300552.0
2021-08-06,302198.81,300704.0
2021-08-09,303370.76999999996,300824.0
2021-08-10,303977.56999999995,301416.0
2021-08-11,303708.44999999995,300520.0
2021-08-12,301692.1,298560.0
2021-08-13,304540.33999999997,300320.0
2021-08-16,305146.74,300144.0
2021-08-17,303889.69999999995,298928.0
2021-08-18,304590.29,298152.0
2021-08-19,300478.45,294184.0
2021-08-20,304467.00999999995,298056.0
2021-08-23,309750.25,301048.0
2021-08-24,313953.6099999999,305080.0
2021-08-25,310112.42,305712.0
2021-08-26,309525.25,305144.0
2021-08-27,310854.14,304464.0
2021-08-30,310900.2,307488.0
2021-08-31,314840.92,310416.0
2021-09-01,315277.64,310840.0
2021-09-02,316046.75,311584.0
2021-09-03,313772.5,309384.0
2021-09-07,317274.04,311352.0
2021-09-08,317480.79,311552.0
2021-09-09,316716.26999999996,310816.0
2021-09-10,317523.08999999997,310992.0
2021-09-13,316379.64999999997,309200.0
2021-09-14,315439.49,308296.0
2021-09-15,315275.71,306592.0
2021-09-16,316068.01,307352.0
2021-09-17,315568.47000000003,308264.0
2021-09-20,309150.76,299976.0
2021-09-21,309251.08,300072.0
2021-09-22,308766.99000000005,299680.0
2021-09-23,311853.46,302616.0
2021-09-24,313461.03,302528.0
2021-09-27,314632.18000000005,302168.0
2021-09-28,310804.3300000001,298544.0
2021-09-29,309321.75000000006,294944.0
2021-09-30,309151.95000000007,294784.0
2021-10-01,308866.0300000001,292888.0
2021-10-04,308381.5500000001,292824.0
2021-10-05,308114.87000000005,288976.0
2021-10-06,308433.07000000007,289272.0
2021-10-07,316028.19000000006,296248.0
2021-10-08,309079.07000000007,297272.0
