date,strategy_value,dca_value
2021-07-26,301654.96,300000.0
2021-07-27,301654.96,300584.0
2021-07-28,299734.96,298488.0
2021-07-29,299532.32,298208.0
2021-07-30,297284.32,295960.0
2021-08-02,300356.32,299032.0
2021-08-03,299556.32,298232.0
2021-08-04,300748.32,299424.0
2021-08-05,301876.32,300552.0
2021-08-06,302028.32,300704.0
2021-08-09,302148.32,300824.0
2021-08-10,302740.32,301416.0
2021-08-11,301844.32,300520.0
2021-08-12,299884.32,298560.0
2021-08-13,301721.68,300320.0
2021-08-16,301545.68,300144.0
2021-08-17,300329.68,298928.0
2021-08-18,299553.68,298152.0
2021-08-19,295585.68,294184.0
2021-08-20,299457.68,298056.0
2021-08-23,302449.68,301048.0
2021-08-24,306481.68,305080.0
2021-08-25,307113.68,305712.0
2021-08-26,306545.68,305144.0
2021-08-27,305865.68,304464.0
2021-08-30,308991.36000000004,307488.0
2021-08-31,311919.36000000004,310416.0
2021-09-01,312343.36000000004,310840.0
2021-09-02,313087.36000000004,311584.0
2021-09-03,310887.36000000004,309384.0
2021-09-07,312855.36000000004,311352.0
2021-09-08,313055.36000000004,311552.0
2021-09-09,312319.36000000004,310816.0
2021-09-10,312495.36000000004,310992.0
2021-09-13,310703.36000000004,309200.0
2021-09-14,309799.36000000004,308296.0
2021-09-15,308095.36000000004,306592.0
2021-09-16,308855.36000000004,307352.0
2021-09-17,309826.0,308264.0
2021-09-20,301869.2,299976.0
2021-09-21,301965.2,300072.0
2021-09-22,301573.2,299680.0
2021-09-23,304509.2,302616.0
2021-09-24,304421.2,302528.0
2021-09-27,304061.2,302168.0
2021-09-28,300437.2,298544.0
2021-09-29,296837.2,294944.0
2021-09-30,296677.2,294784.0
2021-10-01,294781.2,292888.0
2021-10-04,294909.04000000004,292824.0
2021-10-05,291061.04000000004,288976.0
2021-10-06,291357.04000000004,289272.0
2021-10-07,298333.04000000004,296248.0
2021-10-08,299357.04000000004,297272.0
2021-10-11,295757.04000000004,293672.0
2021-10-12,295997.04000000004,293912.0
2021-10-13,295701.04000000004,293616.0
2021-10-14,299045.04000000004,296960.0
2021-10-15,302397.04000000004,300312.0
2021-10-18,302181.04000000004,300096.0
2021-10-19,307093.04000000004,305008.0
2021-10-20,308845.04000000004,306760.0
2021-10-21,307421.04000000004,305336.0
2021-10-22,323925.04000000004,321792.0
2021-10-25,323589.04000000004,321456.0
2021-10-26,327325.04000000004,325192.0
2021-10-27,326805.04000000004,324672.0
2021-10-28,328701.04000000004,326568.0
2021-10-29,327989.04000000004,325856.0
2021-11-01,332389.04000000004,330256.0
2021-11-02,332581.04000000004,330448.0
2021-11-03,334781.04000000004,332648.0
2021-11-04,338725.04000000004,336592.0
2021-11-05,343173.04000000004,341040.0
2021-11-08,342280.48000000004,339864.0
2021-11-09,342752.48000000004,340336.0
2021-11-10,337400.48000000004,334984.0
2021-11-11,337480.48000000004,335064.0
2021-11-12,336840.48000000004,334424.0
2021-11-15,340152.48000000004,337736.0
2021-11-16,338512.48000000004,336096.0
2021-11-17,341624.48000000004,339208.0
2021-11-18,343208.48000000004,340792.0
2021-11-19,346168.48000000004,343752.0
2021-11-22,347880.48000000004,345464.0
2021-11-23,341912.48000000004,339496.0
2021-11-24,339368.48000000004,336952.0
2021-11-26,340509.52,337896.0
2021-11-29,340333.52,337720.0
2021-11-30,342645.52,340032.0
2021-12-01,342245.52,339632.0
2021-12-02,332261.52,329648.0
2021-12-03,336669.52,334056.0
2021-12-06,330525.52,327912.0
2021-12-07,338045.52,335432.0
2021-12-08,342157.52,339544.0
2021-12-09,342301.52,339688.0
2021-12-10,340917.52,338304.0
2021-12-13,342203.92000000004,339408.0
2021-12-14,333643.92000000004,330848.0
2021-12-15,334155.92000000004,331360.0
2021-12-16,342235.92000000004,339440.0
2021-12-17,330467.92000000004,327672.0
2021-12-20,327848.72000000003,324660.0
2021-12-21,331436.72000000003,328248.0
2021-12-22,335324.72000000003,332136.0
2021-12-23,339644.72000000003,336456.0
2021-12-27,342796.72000000003,339608.0
2021-12-28,347716.72000000003,344528.0
2021-12-29,345596.72000000003,342408.0
2021-12-30,345260.72000000003,342072.0
2021-12-31,344044.72000000003,340736.0
2022-01-03,343556.72000000003,340248.0
2022-01-04,346108.72000000003,342800.0
2022-01-05,340108.72000000003,336800.0
2022-01-06,330252.72000000003,326944.0
2022-01-07,331540.72000000003,328232.0
2022-01-10,324172.72000000003,320864.0
2022-01-11,327800.72000000003,324492.0
2022-01-12,335084.72000000003,331776.0
2022-01-13,335332.72000000003,332024.0
2022-01-14,324372.72000000003,321064.0
2022-01-18,323964.72000000003,320240.0
2022-01-19,322452.72000000003,318728.0
2022-01-20,320564.72000000003,316840.0
2022-01-21,312308.72000000003,308584.0
2022-01-24,317158.97000000003,312732.0
