date,strategy_value,dca_value
2021-07-26,301654.96,300000.0
2021-07-27,301654.96,300584.0
2021-07-28,299734.96,298488.0
2021-07-29,299542.96,298208.0
2021-07-30,297294.96,295960.0
2021-08-02,300366.96,299032.0
2021-08-03,299566.96,298232.0
2021-08-04,300758.96,299424.0
2021-08-05,301886.96,300552.0
2021-08-06,302038.96,300704.0
2021-08-09,302158.96,300824.0
2021-08-10,302750.96,301416.0
2021-08-11,301854.96,300520.0
2021-08-12,299894.96,298560.0
2021-08-13,301732.32,300320.0
2021-08-16,301556.32,300144.0
2021-08-17,300340.32,298928.0
2021-08-18,299564.32,298152.0
2021-08-19,295596.32,294184.0
2021-08-20,299468.32,298056.0
2021-08-23,302460.32,301048.0
2021-08-24,306492.32,305080.0
2021-08-25,307124.32,305712.0
2021-08-26,306556.32,305144.0
2021-08-27,305876.32,304464.0
2021-08-30,309026.72000000003,307488.0
2021-08-31,311954.72000000003,310416.0
2021-09-01,312378.72000000003,310840.0
2021-09-02,313122.72000000003,311584.0
2021-09-03,310922.72000000003,309384.0
2021-09-07,312890.72000000003,311352.0
2021-09-08,313090.72000000003,311552.0
2021-09-09,312354.72000000003,310816.0
2021-09-10,312530.72000000003,310992.0
2021-09-13,310738.72000000003,309200.0
2021-09-14,309834.72000000003,308296.0
2021-09-15,308130.72000000003,306592.0
2021-09-16,308890.72000000003,307352.0
2021-09-17,309861.36000000004,308264.0
2021-09-20,301904.56000000006,299976.0
2021-09-21,301998.22000000003,300072.0
2021-09-22,301575.80000000005,299680.0
2021-09-23,304748.72500000003,302616.0
2021-09-24,304649.61000000004,302528.0
2021-09-27,304259.775,302168.0
2021-09-28,300339.18000000005,298544.0
2021-09-29,296436.15,294944.0
2021-09-30,296265.62000000005,294784.0
2021-10-01,294221.61500000005,292888.0
2021-10-04,294405.72,292824.0
2021-10-05,290257.615,288976.0
2021-10-06,290570.58,289272.0
2021-10-07,298076.8825,296248.0
2021-10-08,299179.565,297272.0
2021-10-11,295298.18,293672.0
2021-10-12,295556.315,293912.0
2021-10-13,295237.5,293616.0
2021-10-14,298834.805,296960.0
2021-10-15,302449.47,300312.0
2021-10-18,302212.995,300096.0
2021-10-19,307522.21,305008.0
2021-10-20,309417.535,306760.0
2021-10-21,307873.3175,305336.0
2021-10-22,324496.365,321792.0
2021-10-25,324132.168,321456.0
2021-10-26,328180.08999999997,325192.0
2021-10-27,327615.63,324672.0
2021-10-28,329672.505,326568.0
2021-10-29,328894.985,325856.0
2021-11-01,333681.67,330256.0
2021-11-02,333886.8325,330448.0
2021-11-03,336280.76,332648.0
2021-11-04,340581.025,336592.0
2021-11-05,345440.27999999997,341040.0
2021-11-08,344457.62,339864.0
2021-11-09,344973.495,340336.0
2021-11-10,339122.49,334984.0
2021-11-11,339204.245,335064.0
2021-11-12,338509.255,334424.0
2021-11-15,342119.605,337736.0
2021-11-16,340326.335,336096.0
2021-11-17,343726.15499999997,339208.0
2021-11-18,345454.65,340792.0
2021-11-19,348692.525,343752.0
2021-11-22,350571.835,345464.0
2021-11-23,344028.195,339496.0
2021-11-24,341242.005,336952.0
2021-11-26,342472.0,337896.0
2021-11-29,342262.07,337720.0
2021-11-30,344777.65,340032.0
2021-12-01,344329.68,339632.0
2021-12-02,333442.44,329648.0
2021-12-03,338235.37,334056.0
2021-12-06,331540.885,327912.0
2021-12-07,339714.915,335432.0
2021-12-08,344184.935,339544.0
2021-12-09,344344.145,339688.0
2021-12-10,342820.915,338304.0
2021-12-13,344265.965,339408.0
2021-12-14,334924.99000000005,330848.0
2021-12-15,335486.13,331360.0
2021-12-16,344271.05500000005,339440.0
2021-12-17,331439.525,327672.0
2021-12-20,328597.44,324660.0
2021-12-21,332486.13,328248.0
2021-12-22,336691.2,332136.0
2021-12-23,341396.715,336456.0
2021-12-27,344836.53500000003,339608.0
2021-12-28,350205.23000000004,344528.0
2021-12-29,347883.405,342408.0
2021-12-30,347515.815,342072.0
2021-12-31,346222.625,340736.0
2022-01-03,345687.825,340248.0
2022-01-04,348473.825,342800.0
2022-01-05,341921.0,336800.0
2022-01-06,331167.025,326944.0
2022-01-07,332564.42000000004,328232.0
2022-01-10,324579.245,320864.0
2022-01-11,328504.42500000005,324492.0
2022-01-12,336405.015,331776.0
2022-01-13,336669.98000000004,332024.0
2022-01-14,324769.30000000005,321064.0
2022-01-18,324290.515,320240.0
2022-01-19,322646.89,318728.0
2022-01-20,320602.11000000004,316840.0
2022-01-21,311714.31,308584.0
2022-01-24,315069.635,312732.0
2022-01-25,315717.32,313420.5
2022-01-26,321041.60000000003,319036.5
2022-01-27,318047.57,315877.5
2022-01-28,312600.57,310144.5
2022-01-31,321280.03500000003,319297.5
2022-02-01,330892.91000000003,329404.5
2022-02-02,335834.99,334201.5
