date,strategy_value,dca_value
2021-07-26,301654.96,300000.0
2021-07-27,301654.96,300584.0
2021-07-28,299734.96,298488.0
2021-07-29,299532.32,298208.0
2021-07-30,297284.32,295960.0
2021-08-02,299658.22000000003,299032.0
2021-08-03,298858.22000000003,298232.0
2021-08-04,300050.22000000003,299424.0
2021-08-05,301178.22000000003,300552.0
2021-08-06,301330.22000000003,300704.0
2021-08-09,301450.22000000003,300824.0
2021-08-10,302042.22000000003,301416.0
2021-08-11,301146.22000000003,300520.0
2021-08-12,299186.22000000003,298560.0
2021-08-13,301023.58,300320.0
2021-08-16,300847.58,300144.0
2021-08-17,299631.58,298928.0
2021-08-18,298855.58,298152.0
2021-08-19,294887.58,294184.0
2021-08-20,298759.58,298056.0
2021-08-23,301751.58,301048.0
2021-08-24,305783.58,305080.0
2021-08-25,306415.58,305712.0
2021-08-26,305847.58,305144.0
2021-08-27,305167.58,304464.0
2021-08-30,308293.26,307488.0
2021-08-31,311221.26,310416.0
2021-09-01,311645.26,310840.0
2021-09-02,312389.26,311584.0
2021-09-03,310189.26,309384.0
2021-09-07,312157.26,311352.0
2021-09-08,312357.26,311552.0
2021-09-09,311621.26,310816.0
2021-09-10,311797.26,310992.0
2021-09-13,310005.26,309200.0
2021-09-14,309101.26,308296.0
2021-09-15,307397.26,306592.0
2021-09-16,308157.26,307352.0
2021-09-17,309127.9,308264.0
2021-09-20,301171.10000000003,299976.0
2021-09-21,301264.98000000004,300072.0
2021-09-22,300845.42000000004,299680.0
2021-09-23,303996.07,302616.0
2021-09-24,303898.0,302528.0
2021-09-27,303510.97000000003,302168.0
2021-09-28,299618.26,298544.0
2021-09-29,295743.72000000003,294944.0
2021-09-30,295574.18000000005,294784.0
2021-10-01,293544.09,292888.0
2021-10-04,293663.98,292824.0
2021-10-05,289544.08999999997,288976.0
2021-10-06,289855.46,289272.0
2021-10-07,297311.90499999997,296248.0
2021-10-08,298407.19,297272.0
2021-10-11,294552.26,293672.0
2021-10-12,294808.69,293912.0
2021-10-13,294492.02,293616.0
2021-10-14,298065.51,296960.0
2021-10-15,301655.48,300312.0
2021-10-18,301420.93,300096.0
2021-10-19,306692.8,305008.0
2021-10-20,308574.64999999997,306760.0
2021-10-21,307041.735,305336.0
2021-10-22,323653.58999999997,321792.0
2021-10-25,323292.044,321456.0
2021-10-26,327310.64,325192.0
2021-10-27,326750.36,324672.0
2021-10-28,328792.11,326568.0
2021-10-29,328020.75,325856.0
2021-11-01,332771.08,330256.0
2021-11-02,332975.005,330448.0
2021-11-03,335350.7,332648.0
2021-11-04,339617.47,336592.0
2021-11-05,344438.06,341040.0
2021-11-08,343441.62,339864.0
2021-11-09,343953.37,340336.0
2021-11-10,338149.27999999997,334984.0
2021-11-11,338230.87,335064.0
2021-11-12,337541.05,334424.0
2021-11-15,341123.35,337736.0
2021-11-16,339344.49,336096.0
2021-11-17,342717.25,339208.0
2021-11-18,344432.16,340792.0
2021-11-19,347643.91,343752.0
2021-11-22,349507.49,345464.0
2021-11-23,343017.97,339496.0
2021-11-24,340254.55,336952.0
2021-11-26,341473.50000000006,337896.0
2021-11-29,341266.76,337720.0
2021-11-30,343763.2,340032.0
2021-12-01,343319.74000000005,339632.0
2021-12-02,332517.42000000004,329648.0
2021-12-03,337274.16000000003,334056.0
2021-12-06,329529.35000000003,327912.0
2021-12-07,337641.89,335432.0
2021-12-08,342078.25,339544.0
2021-12-09,342236.03,339688.0
2021-12-10,340725.89,338304.0
2021-12-13,341038.14,339408.0
2021-12-14,331770.59,330848.0
2021-12-15,332327.11000000004,331360.0
2021-12-16,341045.76,339440.0
2021-12-17,328314.22000000003,327672.0
2021-12-20,325493.09,324660.0
2021-12-21,329353.51,328248.0
2021-12-22,333528.77,332136.0
2021-12-23,338198.04000000004,336456.0
2021-12-27,341610.80000000005,339608.0
2021-12-28,346937.31000000006,344528.0
2021-12-29,344634.46,342408.0
2021-12-30,344269.84,342072.0
2021-12-31,342940.42000000004,340736.0
2022-01-03,342410.02,340248.0
2022-01-04,345174.02,342800.0
2022-01-05,338673.17000000004,336800.0
2022-01-06,328003.62000000005,326944.0
2022-01-07,329390.73000000004,328232.0
2022-01-10,323781.58,320864.0
2022-01-11,327678.82,324492.0
2022-01-12,335521.44,331776.0
2022-01-13,335784.81000000006,332024.0
2022-01-14,323972.57,321064.0
2022-01-18,323500.44,320240.0
2022-01-19,321869.19,318728.0
2022-01-20,319839.15,316840.0
2022-01-21,311010.75,308584.0
2022-01-24,314440.60000000003,312732.0
2022-01-25,315084.93000000005,313420.5
2022-01-26,320377.97000000003,319036.5
2022-01-27,317401.43000000005,315877.5
2022-01-28,311987.43000000005,310144.5
2022-01-31,320615.80000000005,319297.5
2022-02-01,330169.55000000005,329404.5
2022-02-02,335080.83,334201.5
