date,side,price,qty,pnl
2021-09-20,BUY,67.71,114,
2021-10-04,BUY,62.55,15,
2022-05-09,BUY,32.56,75,
2022-05-11,BUY,30.85,98,
2022-05-12,BUY,27.43,8,
2022-05-13,BUY,29.85,52,
2022-05-16,BUY,31.13,9,
2022-05-23,BUY,27.65,11,
2022-06-17,BUY,22.07,375,
2022-06-21,BUY,23.815,28,
2022-10-03,BUY,19.705,1266,
2025-03-10,BUY,64.0,67,
2025-04-07,BUY,36.75,116,
2025-04-08,BUY,45.39,63,
2025-04-10,BUY,48.68,106,
2025-04-16,BUY,46.83,21,
2023-06-15,SELL,39.74,1266,25364.310000000005
2023-07-14,SELL,44.22,375,8306.25
2023-12-14,SELL,49.25,28,712.18
2024-01-22,SELL,55.41,8,223.83999999999997
2024-01-22,SELL,55.41,11,305.35999999999996
2024-02-12,SELL,60.21,52,1578.72
2024-03-04,SELL,63.09,98,3159.52
2024-03-04,SELL,63.09,9,287.64000000000004
2024-05-23,SELL,66.5,75,2545.5
2025-06-04,SELL,73.58,116,4272.28
2025-07-29,SELL,90.99,63,2872.7999999999997
2025-08-13,SELL,96.05,21,1033.62
