model,coverage,val_thr,val_AUC,val_P,val_R,val_C,test_thr,test_AUC,test_P,test_R,test_C
xgb,0.05,0.5895902514457703,0.77023988005997,0.0,0.0,0.05,0.5901720523834229,0.8217272014632871,0.6,0.20930232558139536,0.06787330316742081
xgb,0.1,0.5755228400230408,0.77023988005997,0.43478260869565216,0.21739130434782608,0.10454545454545454,0.5771604180335999,0.8217272014632871,0.5,0.27906976744186046,0.1085972850678733
xgb,0.15,0.538089394569397,0.77023988005997,0.575,0.5,0.18181818181818182,0.5630138516426086,0.8217272014632871,0.38235294117647056,0.3023255813953488,0.15384615384615385
lgbm,0.05,0.6587581175507262,0.7662418790604697,0.6875,0.2391304347826087,0.07272727272727272,0.6624479978613769,0.7668539325842697,0.5714285714285714,0.18604651162790697,0.06334841628959276
lgbm,0.1,0.6550819697978763,0.7662418790604697,0.5217391304347826,0.2608695652173913,0.10454545454545454,0.6486617442862556,0.7668539325842697,0.4482758620689655,0.3023255813953488,0.13122171945701358
lgbm,0.15,0.5204015228156941,0.7662418790604697,0.5151515151515151,0.3695652173913043,0.15,0.6419894134295135,0.7668539325842697,0.35135135135135137,0.3023255813953488,0.167420814479638
extratrees,0.05,0.6223724554936049,0.6609195402298851,0.36363636363636365,0.08695652173913043,0.05,0.6490099384392248,0.7257643062451006,0.5833333333333334,0.16279069767441862,0.05429864253393665
extratrees,0.1,0.5948939564755884,0.6609195402298851,0.5,0.2391304347826087,0.1,0.6278468527022486,0.7257643062451006,0.43478260869565216,0.23255813953488372,0.10407239819004525
extratrees,0.15,0.5757662715233722,0.6609195402298851,0.45454545454545453,0.32608695652173914,0.15,0.6092976626839487,0.7257643062451006,0.4411764705882353,0.3488372093023256,0.15384615384615385
ens_mean,0.05,0.6197192160910657,0.7201399300349824,0.36363636363636365,0.08695652173913043,0.05,0.6298804490038977,0.7716226809511366,0.6666666666666666,0.18604651162790697,0.05429864253393665
ens_mean,0.1,0.6163057059865314,0.7201399300349824,0.5,0.2391304347826087,0.1,0.6180992172886951,0.7716226809511366,0.5217391304347826,0.27906976744186046,0.10407239819004525
ens_mean,0.15,0.5348658096097216,0.7201399300349824,0.5151515151515151,0.3695652173913043,0.15,0.5971623245590232,0.7716226809511366,0.38235294117647056,0.3023255813953488,0.15384615384615385
